CU1060,Founded in 1790 by Saul Solomon Solomon & Company (St Helena) Plc (or “Solomons” as it is known in Island households) has deep links to the history of St Helena establishing it as an integral part of Island life.  Today with a staff complement of over 200 employees the Company’s activities cover a diverse range of businesses.  Whilst core operations are retailing and wholesaling other successful activities include import and export shipping insurance bakery butchery construction and electrical works auto repairs farming transport IT support vehicle inspection and wharfingers.  Having been in business for over 220 years we can truly claim to be St Helena’s oldest and most successful business.
CU1080,Quality IT Advice Support & Delivery  Situated in Gibraltar we at BSG believe in providing the best IT solutions for you and your company – creating synergy between business & technology since 1979.  Our team remains abreast of the latest advancements inside technology and by implementing the most suitable methods through use of appropriate tools & desired products; we strive to innovate bespoke IT infrastructure for our clients.
CU1130,The Indian Ocean Tuna Commission (IOTC) is an intergovernmental organization mandated to manage tuna and tuna-like species in the Indian Ocean and adjacent seas. Its objective is to promote cooperation among its Members with a view to ensuring through appropriate management the conservation and optimum utilisation of stocks and encouraging sustainable development of fisheries based on such stocks.
CU1160,This section gives you an insight into each of the departments which make up the Government service. From here you will learn of the different roles and responsibilities of each department the services they provide and how they contribute to achieving the island’s vision. Each department has its own section on the site providing you with appropriate contact details should you require additional information. To ensure that any enquiry you make is processed as quickly as possible please ensure that you use the correct email address provided for each department
CU1346,Security company
CU2186,ioko specializes in designing building and running world-class IT platforms on behalf of large Telecommunications Media & Entertainment enterprises around the world. Our customers and the industry look to ioko for thought leadership across many areas of Media & Entertainment technology and trends. We operate across the full spectrum of the Media & Entertainment industry: broadcasters content producers satellite & cable telco Internet media and pay & play gaming. We have built long-term strategic relationships with some of the world's leading Media & Entertainment brands including the BBC News Corp's BSkyB AT&T Channel 4 ITV Disney and Electronic Arts. For many of our customers we don't just design and build their platforms we actually run multi-platform systems across web mobile and TV.  We are a $100M company and we work in many countries around the globe. We have the scale resources and expertise to handle large mission critical IT projects but we are also very flexible and have the speed and passion of a cutting edge start-up. We believe in treating our customers partners and employees with respect and we operate our business ethically and responsibly around the world.
CU2188,Internatiional holiday resort compnay. HQ in USA with resorts in UK and Europe.
CU2189,Global Knowledge is the worldwide leader in IT and business training. We deliver via training centers private facilities and the Internet enabling our customers to choose when where and how they want to receive training programs and learning services.
CU2232,Rockline is a global world class manufacturer of premium quality products for both branded and private label categories. From coffee filters to wet wipe products Rockline offers a comprehensive line of products for your everyday lifestyle. We are a recognized leader in innovation product development research design and manufacturing.
CU2377,Payroll Outsourcing
